Balls,BattingOrder,Country,Fours,MatchId,Minutes,Name,OutMethod,Runs,SR,Sixes
13,1,West Indies,3,T20I no. 2709,23,Brandon King,,23,176.92,1
34,2,West Indies,4,T20I no. 2709,55,Johnson Charles,c Brook b Ali,38,111.76,1
32,3,West Indies,4,T20I no. 2709,53,Nicholas Pooran,c †Buttler b Archer,36,112.50,1
17,4,West Indies,0,T20I no. 2709,18,Rovman Powell,c Wood b Livingstone,36,211.76,5
2,5,West Indies,0,T20I no. 2709,7,Andre Russell,c Salt b Rashid,1,50.00,0
15,6,West Indies,1,T20I no. 2709,20,Sherfane Rutherford,,28,186.66,2
7,7,West Indies,1,T20I no. 2709,16,Romario Shepherd,,5,71.42,0
47,1,England,7,T20I no. 2709,79,Phil Salt,,87,185.10,5
22,2,England,2,T20I no. 2709,34,Jos Buttler,lbw b Chase,25,113.63,0
10,3,England,2,T20I no. 2709,9,Moeen Ali,c Charles b Russell,13,130.00,0
26,4,England,5,T20I no. 2709,32,Jonny Bairstow,,48,184.61,2
13,1,India,1,T20I no. 2710,13,Rohit Sharma,c Rashid Khan b Fazalhaq Farooqi,8,61.53,0
24,2,India,0,T20I no. 2710,41,Virat Kohli,c Mohammad Nabi b Rashid Khan,24,100.00,1
11,3,India,4,T20I no. 2710,20,Rishabh Pant,lbw b Rashid Khan,20,181.81,0
28,4,India,5,T20I no. 2710,51,Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,189.28,3
7,5,India,0,T20I no. 2710,11,Shivam Dube,lbw b Rashid Khan,10,142.85,1
24,6,India,3,T20I no. 2710,40,Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,133.33,2
5,7,India,1,T20I no. 2710,11,Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,140.00,0
6,8,India,2,T20I no. 2710,11,Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,200.00,0
2,9,India,0,T20I no. 2710,8,Arshdeep Singh,,2,100.00,0
8,1,Afghanistan,1,T20I no. 2710,7,Rahmanullah Gurbaz,c †Pant b Bumrah,11,137.50,1
4,2,Afghanistan,0,T20I no. 2710,20,Hazratullah Zazai,c Jadeja b Bumrah,2,50.00,0
11,3,Afghanistan,1,T20I no. 2710,9,Ibrahim Zadran,c Sharma b Patel,8,72.72,0
21,4,Afghanistan,1,T20I no. 2710,25,Gulbadin Naib,c †Pant b Kuldeep Yadav,17,80.95,1
20,5,Afghanistan,2,T20I no. 2710,26,Azmatullah Omarzai,c Patel b Jadeja,26,130.00,1
17,6,Afghanistan,0,T20I no. 2710,22,Najibullah Zadran,c Arshdeep Singh b Bumrah,19,111.76,2
14,7,Afghanistan,0,T20I no. 2710,24,Mohammad Nabi,c Jadeja b Kuldeep Yadav,14,100.00,1
6,8,Afghanistan,0,T20I no. 2710,11,Rashid Khan,c Jadeja b Arshdeep Singh,2,33.33,0
18,9,Afghanistan,1,T20I no. 2710,19,Noor Ahmad,c Sharma b Arshdeep Singh,12,66.66,1
1,10,Afghanistan,0,T20I no. 2710,1,Naveen-ul-Haq,c †Pant b Arshdeep Singh,0,0.00,0
1,11,Afghanistan,1,T20I no. 2710,11,Fazalhaq Farooqi,,4,400.00,0
3,1,Bangladesh,0,T20I no. 2711,2,Tanzid Hasan, b Starc,0,0.00,0
25,2,Bangladesh,2,T20I no. 2711,42,Litton Das, b Zampa,16,64.00,0
36,3,Bangladesh,5,T20I no. 2711,57,Najmul Hossain Shanto,lbw b Zampa,41,113.88,1
4,4,Bangladesh,0,T20I no. 2711,5,Rishad Hossain,c Zampa b Maxwell,2,50.00,0
28,5,Bangladesh,2,T20I no. 2711,40,Towhid Hridoy,c Hazlewood b Cummins,40,142.85,2
10,6,Bangladesh,0,T20I no. 2711,27,Shakib Al Hasan,c & b Stoinis,8,80.00,0
3,7,Bangladesh,0,T20I no. 2711,7,Mahmudullah, b Cummins,2,66.66,0
1,8,Bangladesh,0,T20I no. 2711,1,Mahedi Hasan,c Zampa b Cummins,0,0.00,0
7,9,Bangladesh,1,T20I no. 2711,9,Taskin Ahmed,,13,185.71,0
3,10,Bangladesh,0,T20I no. 2711,3,Tanzim Hasan Sakib,,4,133.33,0
35,1,Australia,5,T20I no. 2711,52,David Warner,,53,151.42,3
21,2,Australia,3,T20I no. 2711,30,Travis Head, b Rishad Hossain,31,147.61,2
6,3,Australia,0,T20I no. 2711,8,Mitchell Marsh,lbw b Rishad Hossain,1,16.66,0
6,4,Australia,1,T20I no. 2711,12,Glenn Maxwell,,14,233.33,1
25,1,South Africa,1,T20I no. 2712,41,Reeza Hendricks,c Brook b Ali,19,76.00,0
38,2,South Africa,4,T20I no. 2712,50,Quinton de Kock,c †Buttler b Archer,65,171.05,4
13,3,South Africa,1,T20I no. 2712,21,Heinrich Klaasen,run out (†Buttler),8,61.53,0
28,4,South Africa,4,T20I no. 2712,40,David Miller,c Brook b Archer,43,153.57,2
2,5,South Africa,0,T20I no. 2712,4,Aiden Markram, b Rashid,1,50.00,0
11,6,South Africa,1,T20I no. 2712,28,Tristan Stubbs,,12,109.09,0
1,7,South Africa,0,T20I no. 2712,1,Marco Jansen,c Curran b Archer,0,0.00,0
2,8,South Africa,1,T20I no. 2712,3,Keshav Maharaj,,5,250.00,0
8,1,England,1,T20I no. 2712,8,Phil Salt,c Hendricks b Rabada,11,137.50,1
20,2,England,1,T20I no. 2712,38,Jos Buttler,c Klaasen b Maharaj,17,85.00,0
20,3,England,1,T20I no. 2712,20,Jonny Bairstow,c Nortje b Maharaj,16,80.00,0
10,4,England,0,T20I no. 2712,15,Moeen Ali,c Maharaj b Baartman,9,90.00,0
37,5,England,7,T20I no. 2712,50,Harry Brook,c Markram b Nortje,53,143.24,0
17,6,England,3,T20I no. 2712,33,Liam Livingstone,c Stubbs b Rabada,33,194.11,2
7,7,England,1,T20I no. 2712,14,Sam Curran,,10,142.85,0
2,8,England,0,T20I no. 2712,4,Jofra Archer,,1,50.00,0
7,1,United States of America,0,T20I no. 2713,5,Steven Taylor,c Chase b Russell,2,28.57,0
16,2,United States of America,3,T20I no. 2713,37,Andries Gous,c Hope b Joseph,29,181.25,1
19,3,United States of America,2,T20I no. 2713,23,Nitish Kumar,lbw b Motie,20,105.26,0
11,4,United States of America,0,T20I no. 2713,12,Aaron Jones, b Chase,11,100.00,1
15,5,United States of America,0,T20I no. 2713,23,Corey Anderson,lbw b Chase,7,46.66,0
21,6,United States of America,1,T20I no. 2713,35,Milind Kumar,run out (Motie/Russell),19,90.47,0
1,7,United States of America,0,T20I no. 2713,1,Harmeet Singh,c Charles b Chase,0,0.00,0
17,8,United States of America,3,T20I no. 2713,17,Shadley van Schalkwyk,c Charles b Russell,18,105.88,0
3,9,United States of America,0,T20I no. 2713,8,Nosthush Kenjige,c †Pooran b Joseph,1,33.33,0
6,10,United States of America,1,T20I no. 2713,11,Ali Khan,,14,233.33,1
4,11,United States of America,0,T20I no. 2713,4,Saurabh Netravalkar,c Powell b Russell,0,0.00,0
39,1,West Indies,4,T20I no. 2713,-,Shai Hope,,82,210.25,8
14,2,West Indies,2,T20I no. 2713,-,Johnson Charles,c Milind Kumar b Harmeet Singh,15,107.14,0
12,3,West Indies,1,T20I no. 2713,-,Nicholas Pooran,,27,225.00,3
11,1,India,3,T20I no. 2716,14,Rohit Sharma,c Jaker Ali b Shakib Al Hasan,23,209.09,1
28,2,India,1,T20I no. 2716,34,Virat Kohli, b Tanzim Hasan Sakib,37,132.14,3
24,3,India,4,T20I no. 2716,36,Rishabh Pant,c Tanzim Hasan Sakib b Rishad Hossain,36,150.00,2
2,4,India,0,T20I no. 2716,2,Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,300.00,1
24,5,India,0,T20I no. 2716,38,Shivam Dube, b Rishad Hossain,34,141.66,3
27,6,India,4,T20I no. 2716,38,Hardik Pandya,,50,185.18,3
5,7,India,0,T20I no. 2716,13,Axar Patel,,3,60.00,0
10,1,Bangladesh,1,T20I no. 2716,20,Litton Das,c Yadav b Pandya,13,130.00,1
31,2,Bangladesh,4,T20I no. 2716,41,Tanzid Hasan,lbw b Kuldeep Yadav,29,93.54,0
32,3,Bangladesh,1,T20I no. 2716,46,Najmul Hossain Shanto,c Arshdeep Singh b Bumrah,40,125.00,3
6,4,Bangladesh,0,T20I no. 2716,6,Towhid Hridoy,lbw b Kuldeep Yadav,4,66.66,0
7,5,Bangladesh,1,T20I no. 2716,7,Shakib Al Hasan,c Sharma b Kuldeep Yadav,11,157.14,1
15,6,Bangladesh,1,T20I no. 2716,30,Mahmudullah,c Patel b Arshdeep Singh,13,86.66,0
4,7,Bangladesh,0,T20I no. 2716,3,Jaker Ali,c Kohli b Arshdeep Singh,1,25.00,0
10,8,Bangladesh,1,T20I no. 2716,9,Rishad Hossain,c Sharma b Bumrah,24,240.00,3
4,9,Bangladesh,1,T20I no. 2716,7,Mahedi Hasan,,5,125.00,0
1,10,Bangladesh,0,T20I no. 2716,1,Tanzim Hasan Sakib,,1,100.00,0
49,1,Afghanistan,4,T20I no. 2717,66,Rahmanullah Gurbaz,c Warner b Stoinis,60,122.44,4
48,2,Afghanistan,6,T20I no. 2717,73,Ibrahim Zadran,c Marsh b Zampa,51,106.25,0
3,3,Afghanistan,0,T20I no. 2717,2,Azmatullah Omarzai, b Zampa,2,66.66,0
9,4,Afghanistan,0,T20I no. 2717,13,Karim Janat,c David b Cummins,13,144.44,1
5,5,Afghanistan,0,T20I no. 2717,4,Rashid Khan,c David b Cummins,2,40.00,0
4,6,Afghanistan,2,T20I no. 2717,10,Mohammad Nabi,,10,250.00,0
1,7,Afghanistan,0,T20I no. 2717,12,Gulbadin Naib,c Maxwell b Cummins,0,0.00,0
1,8,Afghanistan,0,T20I no. 2717,2,Nangeyalia Kharote,,1,100.00,0
3,1,Australia,0,T20I no. 2717,2,Travis Head, b Naveen-ul-Haq,0,0.00,0
8,2,Australia,0,T20I no. 2717,27,David Warner,c Noor Ahmad b Mohammad Nabi,3,37.50,0
9,3,Australia,2,T20I no. 2717,9,Mitchell Marsh,c Mohammad Nabi b Naveen-ul-Haq,12,133.33,0
41,4,Australia,6,T20I no. 2717,58,Glenn Maxwell,c Noor Ahmad b Gulbadin Naib,59,143.90,3
17,5,Australia,1,T20I no. 2717,20,Marcus Stoinis,c †Rahmanullah Gurbaz b Gulbadin Naib,11,64.70,0
4,6,Australia,0,T20I no. 2717,9,Tim David,lbw b Gulbadin Naib,2,50.00,0
7,7,Australia,0,T20I no. 2717,16,Matthew Wade,c Karim Janat b Rashid Khan,5,71.42,0
9,8,Australia,0,T20I no. 2717,9,Pat Cummins, b Gulbadin Naib,3,33.33,0
5,9,Australia,0,T20I no. 2717,10,Ashton Agar,c Gulbadin Naib b Naveen-ul-Haq,2,40.00,0
7,10,Australia,1,T20I no. 2717,15,Adam Zampa,c Mohammad Nabi b Azmatullah Omarzai,9,128.57,0
7,11,Australia,0,T20I no. 2717,10,Josh Hazlewood,,5,71.42,0
13,1,United States of America,2,T20I no. 2719,25,Steven Taylor,c Ali b Curran,12,92.30,0
5,2,United States of America,0,T20I no. 2719,4,Andries Gous,c Salt b Topley,8,160.00,1
24,3,United States of America,1,T20I no. 2719,38,Nitish Kumar, b Rashid,30,125.00,2
16,4,United States of America,2,T20I no. 2719,10,Aaron Jones, b Rashid,10,62.50,0
28,5,United States of America,0,T20I no. 2719,43,Corey Anderson,c Brook b Jordan,29,103.57,1
6,6,United States of America,0,T20I no. 2719,13,Milind Kumar,c †Buttler b Livingstone,4,66.66,0
17,7,United States of America,2,T20I no. 2719,19,Harmeet Singh,c Jordan b Curran,21,123.52,1
0,8,United States of America,0,T20I no. 2719,7,Shadley van Schalkwyk,,0,-,0
2,9,United States of America,0,T20I no. 2719,1,Ali Khan, b Jordan,0,0.00,0
1,10,United States of America,0,T20I no. 2719,1,Nosthush Kenjige,lbw b Jordan,0,0.00,0
1,11,United States of America,0,T20I no. 2719,1,Saurabh Netravalkar, b Jordan,0,0.00,0
21,1,England,2,T20I no. 2719,44,Phil Salt,,25,119.04,0
38,2,England,6,T20I no. 2719,44,Jos Buttler,,83,218.42,7
34,1,West Indies,3,T20I no. 2720,53,Kyle Mayers,c Stubbs b Shamsi,35,102.94,2
1,2,West Indies,0,T20I no. 2720,3,Shai Hope,c Stubbs b Jansen,0,0.00,0
3,3,West Indies,0,T20I no. 2720,4,Nicholas Pooran,c Jansen b Markram,1,33.33,0
42,4,West Indies,3,T20I no. 2720,59,Roston Chase,c Rabada b Shamsi,52,123.80,2
2,5,West Indies,0,T20I no. 2720,2,Rovman Powell,st †de Kock b Maharaj,1,50.00,0
4,6,West Indies,0,T20I no. 2720,5,Sherfane Rutherford,c Markram b Shamsi,0,0.00,0
9,7,West Indies,0,T20I no. 2720,15,Andre Russell,run out (Nortje),15,166.66,2
11,8,West Indies,1,T20I no. 2720,12,Akeal Hosein,c & b Rabada,6,54.54,0
7,9,West Indies,0,T20I no. 2720,14,Alzarri Joseph,,11,157.14,1
7,10,West Indies,1,T20I no. 2720,10,Gudakesh Motie,,4,57.14,0
7,1,South Africa,3,T20I no. 2720,10,Quinton de Kock,c Rutherford b Russell,12,171.42,0
1,2,South Africa,0,T20I no. 2720,5,Reeza Hendricks,c †Pooran b Russell,0,0.00,0
15,3,South Africa,2,T20I no. 2720,20,Aiden Markram,c Mayers b Joseph,18,120.00,0
27,4,South Africa,4,T20I no. 2720,55,Tristan Stubbs,c Mayers b Chase,29,107.40,0
10,5,South Africa,3,T20I no. 2720,13,Heinrich Klaasen,c †Pooran b Joseph,22,220.00,1
14,6,South Africa,0,T20I no. 2720,18,David Miller, b Chase,4,28.57,0
14,7,South Africa,1,T20I no. 2720,22,Marco Jansen,,21,150.00,1
6,8,South Africa,0,T20I no. 2720,9,Keshav Maharaj,c Joseph b Chase,2,33.33,0
3,9,South Africa,1,T20I no. 2720,5,Kagiso Rabada,,5,166.66,0
41,1,India,7,T20I no. 2721,59,Rohit Sharma, b Starc,92,224.39,8
5,2,India,0,T20I no. 2721,8,Virat Kohli,c David b Hazlewood,0,0.00,0
14,3,India,1,T20I no. 2721,33,Rishabh Pant,c Hazlewood b Stoinis,15,107.14,1
16,4,India,3,T20I no. 2721,29,Suryakumar Yadav,c †Wade b Starc,31,193.75,2
22,5,India,2,T20I no. 2721,33,Shivam Dube,c Warner b Stoinis,28,127.27,1
17,6,India,1,T20I no. 2721,24,Hardik Pandya,,27,158.82,2
5,7,India,0,T20I no. 2721,4,Ravindra Jadeja,,9,180.00,1
6,1,Australia,1,T20I no. 2721,5,David Warner,c Yadav b Arshdeep Singh,6,100.00,0
43,2,Australia,9,T20I no. 2721,76,Travis Head,c Sharma b Bumrah,76,176.74,4
28,3,Australia,3,T20I no. 2721,38,Mitchell Marsh,c Patel b Kuldeep Yadav,37,132.14,2
12,4,Australia,2,T20I no. 2721,15,Glenn Maxwell, b Kuldeep Yadav,20,166.66,1
4,5,Australia,0,T20I no. 2721,4,Marcus Stoinis,c Pandya b Patel,2,50.00,0
11,6,Australia,1,T20I no. 2721,22,Tim David,c Bumrah b Arshdeep Singh,15,136.36,1
2,7,Australia,0,T20I no. 2721,5,Matthew Wade,c Kuldeep Yadav b Arshdeep Singh,1,50.00,0
7,8,Australia,0,T20I no. 2721,15,Pat Cummins,,11,157.14,1
7,9,Australia,0,T20I no. 2721,9,Mitchell Starc,,4,57.14,0
55,1,Afghanistan,3,T20I no. 2722,69,Rahmanullah Gurbaz,c Soumya Sarkar b Rishad Hossain,43,78.18,1
29,2,Afghanistan,1,T20I no. 2722,46,Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,62.06,0
12,3,Afghanistan,0,T20I no. 2722,20,Azmatullah Omarzai,c †Litton Das b Mustafizur Rahman,10,83.33,0
3,4,Afghanistan,1,T20I no. 2722,4,Gulbadin Naib,c Soumya Sarkar b Rishad Hossain,4,133.33,0
5,5,Afghanistan,0,T20I no. 2722,6,Mohammad Nabi,c Najmul Hossain Shanto b Taskin Ahmed,1,20.00,0
6,6,Afghanistan,1,T20I no. 2722,15,Karim Janat,,7,116.66,0
10,7,Afghanistan,0,T20I no. 2722,10,Rashid Khan,,19,190.00,3
49,1,Bangladesh,5,T20I no. 2722,95,Litton Das,,54,110.20,1
3,2,Bangladesh,0,T20I no. 2722,12,Tanzid Hasan,lbw b Fazalhaq Farooqi,0,0.00,0
5,3,Bangladesh,1,T20I no. 2722,7,Najmul Hossain Shanto,c Mohammad Nabi b Naveen-ul-Haq,5,100.00,0
1,4,Bangladesh,0,T20I no. 2722,1,Shakib Al Hasan,c & b Naveen-ul-Haq,0,0.00,0
10,5,Bangladesh,1,T20I no. 2722,18,Soumya Sarkar, b Rashid Khan,10,100.00,0
9,6,Bangladesh,2,T20I no. 2722,7,Towhid Hridoy,c Ibrahim Zadran b Rashid Khan,14,155.55,0
9,7,Bangladesh,1,T20I no. 2722,8,Mahmudullah,c sub (†Mohammad Ishaq) b Rashid Khan,6,66.66,0
1,8,Bangladesh,0,T20I no. 2722,1,Rishad Hossain, b Rashid Khan,0,0.00,0
10,9,Bangladesh,0,T20I no. 2722,13,Tanzim Hasan Sakib,c Mohammad Nabi b Gulbadin Naib,3,30.00,0
9,10,Bangladesh,0,T20I no. 2722,31,Taskin Ahmed, b Naveen-ul-Haq,2,22.22,0
1,11,Bangladesh,0,T20I no. 2722,1,Mustafizur Rahman,lbw b Naveen-ul-Haq,0,0.00,0
3,1,Afghanistan,0,T20I no. 2723,5,Rahmanullah Gurbaz,c Hendricks b Jansen,0,0.00,0
5,2,Afghanistan,0,T20I no. 2723,15,Ibrahim Zadran, b Rabada,2,40.00,0
8,3,Afghanistan,2,T20I no. 2723,6,Gulbadin Naib, b Jansen,9,112.50,0
12,4,Afghanistan,2,T20I no. 2723,18,Azmatullah Omarzai,c Stubbs b Nortje,10,83.33,0
3,5,Afghanistan,0,T20I no. 2723,1,Mohammad Nabi, b Rabada,0,0.00,0
7,6,Afghanistan,0,T20I no. 2723,5,Nangeyalia Kharote,c †de Kock b Jansen,2,28.57,0
13,7,Afghanistan,1,T20I no. 2723,22,Karim Janat,lbw b Shamsi,8,61.53,0
8,8,Afghanistan,2,T20I no. 2723,20,Rashid Khan, b Nortje,8,100.00,0
2,9,Afghanistan,0,T20I no. 2723,2,Noor Ahmad,lbw b Shamsi,0,0.00,0
8,10,Afghanistan,0,T20I no. 2723,9,Naveen-ul-Haq,lbw b Shamsi,2,25.00,0
2,11,Afghanistan,0,T20I no. 2723,6,Fazalhaq Farooqi,,2,100.00,0
8,1,South Africa,1,T20I no. 2723,7,Quinton de Kock, b Fazalhaq Farooqi,5,62.50,0
25,2,South Africa,3,T20I no. 2723,44,Reeza Hendricks,,29,116.00,1
21,3,South Africa,4,T20I no. 2723,35,Aiden Markram,,23,109.52,0
39,1,India,6,T20I no. 2724,57,Rohit Sharma, b Rashid,57,146.15,2
9,2,India,0,T20I no. 2724,10,Virat Kohli, b Topley,9,100.00,1
6,3,India,0,T20I no. 2724,12,Rishabh Pant,c Bairstow b Curran,4,66.66,0
36,4,India,4,T20I no. 2724,40,Suryakumar Yadav,c Jordan b Archer,47,130.55,2
13,5,India,1,T20I no. 2724,17,Hardik Pandya,c Curran b Jordan,23,176.92,2
9,6,India,2,T20I no. 2724,24,Ravindra Jadeja,,17,188.88,0
1,7,India,0,T20I no. 2724,1,Shivam Dube,c †Buttler b Jordan,0,0.00,0
6,8,India,0,T20I no. 2724,10,Axar Patel,c Salt b Jordan,10,166.66,1
1,9,India,0,T20I no. 2724,1,Arshdeep Singh,,1,100.00,0
8,1,England,0,T20I no. 2724,20,Phil Salt, b Bumrah,5,62.50,0
15,2,England,4,T20I no. 2724,13,Jos Buttler,c †Pant b Patel,23,153.33,0
10,3,England,0,T20I no. 2724,18,Moeen Ali,st †Pant b Patel,8,80.00,0
3,4,England,0,T20I no. 2724,2,Jonny Bairstow, b Patel,0,0.00,0
19,5,England,3,T20I no. 2724,21,Harry Brook, b Kuldeep Yadav,25,131.57,0
4,6,England,0,T20I no. 2724,4,Sam Curran,lbw b Kuldeep Yadav,2,50.00,0
16,7,England,0,T20I no. 2724,24,Liam Livingstone,run out (Kuldeep Yadav/Patel),11,68.75,0
5,8,England,0,T20I no. 2724,6,Chris Jordan,lbw b Kuldeep Yadav,1,20.00,0
15,9,England,1,T20I no. 2724,17,Jofra Archer,lbw b Bumrah,21,140.00,2
2,10,England,0,T20I no. 2724,2,Adil Rashid,run out (Yadav),2,100.00,0
3,11,England,0,T20I no. 2724,6,Reece Topley,,3,100.00,0
